"zip","city","county","state","pop"
"90011","Los Angeles","Los Angeles","CA",109414
"90650","Norwalk","Los Angeles","CA",105886
"91331","Pacoima","Los Angeles","CA",105799
"90201","Bell","Los Angeles","CA",102433
"92335","Fontana","San Bernardino","CA",99284
"90250","Hawthorne","Los Angeles","CA",96836
"90805","Long Beach","Los Angeles","CA",96708
"92336","Fontana","San Bernardino","CA",96575
"91342","Sylmar","Los Angeles","CA",96487
"90044","Los Angeles","Los Angeles","CA",96436
"94565","Pittsburg","Contra Costa","CA",96081
"90280","South Gate","Los Angeles","CA",95103
"92503","Riverside","Riverside","CA",94512
"92683","Westminster","Orange","CA",91376
"91710","Chino","San Bernardino","CA",90582
"92704","Santa Ana","Orange","CA",90340
"92804","Anaheim","Orange","CA",88749
"91744","La Puente","Los Angeles","CA",87240
"92376","Rialto","San Bernardino","CA",87027
"92154","San Diego","San Diego","CA",86811
"95076","Watsonville","Santa Cruz","CA",86703
"91911","Chula Vista","San Diego","CA",85365
"94112","San Francisco","San Francisco","CA",85166
"93307","Bakersfield","Kern","CA",84809
"92592","Temecula","Riverside","CA",84418
"93033","Oxnard","Ventura","CA",83782
"93722","Fresno","Fresno","CA",83179
"93727","Fresno","Fresno","CA",82920
"92126","San Diego","San Diego","CA",82572
"92509","Riverside","Riverside","CA",81214
"92345","Hesperia","San Bernardino","CA",80808
"91335","Reseda","Los Angeles","CA",80524
"91709","Chino Hills","San Bernardino","CA",79298
"95823","Sacramento","Sacramento","CA",79272
"94544","Hayward","Alameda","CA",79235
"95035","Milpitas","Santa Clara","CA",77562
"90706","Bellflower","Los Angeles","CA",77529
"91706","Baldwin Park","Los Angeles","CA",77342
"93550","Palmdale","Los Angeles","CA",77006
"95630","Folsom","Sacramento","CA",76973
"93257","Porterville","Tulare","CA",76923
"92553","Moreno Valley","Riverside","CA",75830
"94533","Fairfield","Solano","CA",75635
"90255","Huntington Park","Los Angeles","CA",75560
"94587","Union City","Alameda","CA",74601
"92805","Anaheim","Orange","CA",74413
"91910","Chula Vista","San Diego","CA",74297
"94110","San Francisco","San Francisco","CA",74161
"94536","Fremont","Alameda","CA",73855
"93274","Tulare","Tulare","CA",73778
"93306","Bakersfield","Kern","CA",73401
"93535","Lancaster","Los Angeles","CA",72948
"92105","San Diego","San Diego","CA",72848
"90003","Los Angeles","Los Angeles","CA",72741
"93536","Lancaster","Los Angeles","CA",72383
"91766","Pomona","Los Angeles","CA",72332
"93065","Simi Valley","Ventura","CA",72061
"92882","Corona","Riverside","CA",71581
"91730","Rancho Cucamonga","San Bernardino","CA",71422
"92021","El Cajon","San Diego","CA",71321
"90262","Lynwood","Los Angeles","CA",70936
"91402","Panorama City","Los Angeles","CA",70686
"92703","Santa Ana","Orange","CA",70595
"92114","San Diego","San Diego","CA",70039
"92880","Corona","Riverside","CA",69720
"90026","Los Angeles","Los Angeles","CA",69589
"90631","La Habra","Orange","CA",69502
"92407","San Bernardino","San Bernardino","CA",69222
"94558","Napa","Napa","CA",69142
"92563","Murrieta","Riverside","CA",68128
"94538","Fremont","Alameda","CA",68111
"95687","Vacaville","Solano","CA",68069
"94080","South San Francisco","San Mateo","CA",67597
"95123","San Jose","Santa Clara","CA",67186
"92801","Anaheim","Orange","CA",67053
